,EMf3, ECf11, EMf1, EMf7, MVf12, EMf2, ECf9, bkEC, bkEM, bkMV, EMw3, EMw6, ECw11, EMw1, EMw4, EMw7, EMw8, MVw12, EMw2, EMw5, ECw9, ECw10, MVw13
Otu00076,5,1,0,2149,0,163,0,0,1,0,19,2,1,4,0,0,0,0,0,1,12,44,0
Otu00077,7,34,20,91,31,6,96,108,157,963,30,0,1,1,0,0,359,54,0,0,9,0,3
Otu00078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2232,1,0,0,0,4
Otu00079,0,0,0,0,2,0,0,0,7,0,1,3,1,2,0,101,0,1377,12,6,458,0,53
Otu00080,0,11,0,0,0,0,0,0,0,0,42,1,271,0,0,0,0,0,0,1494,85,134,0
Otu00081,0,4,2,5,0,0,5,6,7,0,2,0,0,0,0,0,0,0,0,2,0,1971,0
Otu00082,0,2,0,0,3,0,0,0,10,0,0,62,90,19,5,11,0,175,35,10,1395,0,60
Otu00083,6,0,0,1753,2,176,2,2,6,0,8,0,7,5,0,0,0,1,19,0,1,0,0
Otu00084,0,0,1,0,0,0,0,0,0,0,0,0,0,22,575,92,934,0,0,0,0,342,6
Otu00085,0,0,0,0,0,0,0,3,5,5,771,154,290,0,14,0,0,0,156,43,487,0,0
Otu00086,0,0,0,0,5,0,0,0,0,0,8,370,1400,40,0,50,0,0,38,4,1,0,0
Otu00087,0,0,0,0,0,0,0,1,0,0,0,1,0,1859,0,0,0,0,0,0,0,0,0
Otu00088,1,0,0,1,0,0,0,0,0,2,324,2,1,37,5,218,133,56,97,0,3,160,29
Otu00089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,17,22,0,0,15,0,11
Otu00090,347,157,447,25,2,664,28,5,0,0,0,0,0,21,0,0,0,0,0,5,0,0,0
Otu00091,0,1,0,2,6,0,0,0,17,0,4,59,59,14,6,12,0,168,26,14,1236,0,60
Otu00092,0,0,0,0,28,0,0,11,4,0,78,131,24,77,0,0,0,49,176,42,882,0,189
Otu00093,0,1,0,0,0,0,0,3,5,0,4,40,1,17,0,0,0,37,44,2,1503,0,23
Otu00094,0,2,0,0,0,0,0,3,5,0,8,185,53,19,0,0,0,47,297,80,917,0,28
Otu00095,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,11,0,0,0,1,6,0,0
Otu00096,6,0,20,12,167,1,37,40,14,48,0,17,53,0,702,90,0,0,93,20,90,0,6
Otu00097,6,39,142,107,22,5,93,66,82,215,9,3,0,6,0,0,0,0,0,3,9,0,0
Otu00098,0,1,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,606,962,0
Otu00099,8,0,0,9,0,0,20,95,27,91,3,3,0,1,0,0,0,0,0,0,5,0,0
Otu00100,94,35,32,250,409,83,29,91,105,125,4,1,24,77,0,0,0,5,0,2,3,0,7
Otu00101,197,90,704,7,0,491,12,3,0,0,7,0,0,4,0,0,0,0,0,6,0,0,0
Otu00102,0,0,0,0,0,0,0,0,0,0,181,144,0,0,0,38,0,0,8,58,0,0,20
Otu00103,18,28,4,32,17,2,91,117,1,116,6,5,1,0,0,16,0,0,0,2,6,0,0
Otu00104,0,0,0,0,0,0,0,0,0,1,38,15,0,0,1,17,0,0,0,128,9,18,0
Otu00105,10,193,0,248,12,106,140,123,266,0,0,2,0,2,14,0,8,3,0,6,10,0,0
