,EMf3,ECf11,EMf1,EMf7,MVf12,EMf2,ECf9,bkEC,bkEM,bkMV,EMw3,EMw6,ECw11,EMw1,EMw4,EMw7,EMw8,MVw12,EMw2,EMw5,ECw9,ECw10,MVw13
B_Otu000161,0,4,39,2154,0,0,22,0,4,0,0,0,0,3,20,3,6,0,0,3,0,7,0
B_Otu000162,0,0,0,0,0,3,0,0,0,0,9,15,0,6,0,0,0,0,277,58,305,0,0
B_Otu000163,2,113,756,25,0,5,133,4,4,0,44,113,0,82,33,18,125,4,4,155,11,7,0
B_Otu000164,0,13,0,0,15,3,12,0,0,0,0,0,83,97,112,136,328,9,8,3,21,180,28
B_Otu000165,0,0,0,0,5,0,0,0,0,0,37,109,20,23,0,0,0,0,404,219,2,0,3
B_Otu000166,0,0,0,0,0,3,3,0,0,0,0,0,678,1,0,2,0,11,13,0,65,15,1209
B_Otu000167,13,2825,0,0,0,0,59,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B_Otu000168,4,25,52,100,10,8,239,207,523,906,0,0,0,0,0,0,0,0,0,0,0,0,0
B_Otu000169,0,0,0,0,0,0,0,0,0,0,116,514,0,39,0,0,0,0,152,50,4,0,0
B_Otu000170,0,8,10,47,26,0,3,0,9,27,0,0,0,1,0,2,0,847,0,0,74,54,436
B_Otu000171,0,4,0,38,0,0,12,0,0,0,0,0,20,21,18,247,381,184,0,0,10,159,98
B_Otu000172,0,4,0,0,15,0,0,0,0,0,183,200,95,36,0,0,0,214,8,474,29,0,136
B_Otu000173,0,4,0,0,0,0,0,0,0,0,53,44,89,10,0,0,0,0,233,1073,8,0,49
B_Otu000174,9,79,13,78,36,8,37,14,59,27,2,0,3,0,0,0,0,530,0,3,39,37,857
B_Otu000175,0,0,0,0,0,0,0,0,0,0,125,215,14,19,0,0,0,0,169,729,10,0,0
B_Otu000176,0,0,0,0,0,0,0,0,0,0,7,250,20,45,0,0,0,0,43,44,7,0,0
B_Otu000177,0,8,0,0,0,0,0,0,0,0,6,113,17,31,0,2,0,0,0,6,6,0,35
B_Otu000178,0,0,0,0,5,0,12,0,0,0,0,7,267,1,2,3,1,0,16,42,129,0,10
B_Otu000179,0,33,1847,25,0,0,15,0,2,0,0,2,6,25,2,7,27,0,0,0,0,4,0
B_Otu000180,0,4,0,6,0,0,28,0,0,0,0,20,0,47,27,147,614,62,1,0,2,0,0
