,EMf3, ECf11, EMf1, EMf7, MVf12, EMf2, ECf9, bkEC, bkEM, bkMV, EMw3, EMw6, ECw11, EMw1, EMw4, EMw7, EMw8, MVw12, EMw2, EMw5, ECw9, ECw10, MVw13
Otu000075,0,0,0,0,0,0,0,0,0,0,13,449,22,88,0,0,0,0,766,250,3,1,1
Otu000076,56,62,86,163,2,62,163,171,539,264,0,0,6,2,0,0,0,0,0,0,0,0,0
Otu000077,0,1,0,0,0,0,0,0,0,0,0,0,0,170,824,326,227,0,0,0,0,19,0
Otu000078,47,46,17,100,21,678,163,10,47,377,1,0,19,3,0,2,22,5,0,0,0,0,1
Otu000079,0,79,1,20,0,1,27,0,1,0,0,4,1,204,336,219,583,0,10,1,1,72,0
Otu000080,0,0,0,0,15,0,0,0,0,0,0,157,23,19,0,4,1,0,1,0,19,1,5
Otu000081,0,1,9,69,9,0,17,1,1,0,0,2,1,79,429,476,217,180,14,3,0,11,3
Otu000082,0,2,1,0,180,0,0,1,0,0,48,100,20,98,0,0,0,614,135,31,49,0,179
Otu000083,10,13,44,55,2,9,162,107,531,562,0,0,1,1,0,0,0,0,0,0,0,0,0
Otu000084,0,1,0,0,0,0,0,0,0,0,115,108,0,99,0,0,0,0,0,0,0,0,1149
Otu000085,5,386,212,28,0,1,21,0,4,0,102,46,173,46,1,5,5,2,35,102,219,56,1
Otu000086,0,0,0,0,0,0,0,0,0,0,14,19,1,38,0,0,0,0,0,11,1,0,396
Otu000087,0,0,0,0,1,0,0,1,0,0,36,494,4,24,0,0,0,0,164,707,5,2,1
Otu000088,0,0,0,0,0,0,0,0,0,0,0,0,1,114,820,208,261,0,0,0,0,30,3
Otu000089,0,2,2,1,0,3,8,0,0,0,0,1,11,250,128,258,278,3,7,0,113,302,52
Otu000090,0,1,0,1,0,1,7,0,0,0,1,1,6,327,97,49,149,2,1,1,414,331,11
Otu000091,0,26,8,12,0,0,2,0,2,0,1,6,15,241,79,39,619,128,1,0,46,161,8
Otu000092,0,1,0,1,0,0,0,0,0,0,81,87,0,984,1,1,0,0,0,1,2,1,29
Otu000093,0,1,2,3,5,2,13,0,0,0,1,1,0,132,207,403,445,93,2,6,5,38,2
Otu000094,2,16,9,21,27,2,51,44,199,907,0,2,3,1,0,0,0,16,2,1,11,0,40
Otu000095,0,3,2,8,2,2,17,0,0,0,0,0,0,181,113,552,303,93,0,0,8,65,4
Otu000096,0,4,0,10,0,1,5,0,0,0,0,1,0,268,223,233,226,0,1,0,214,84,12
Otu000097,0,0,0,2,0,0,19,0,0,0,0,0,0,51,107,442,487,115,0,0,1,20,4
Otu000098,35,40,58,108,2,48,125,113,341,327,0,0,3,3,0,0,0,0,0,0,0,0,0
Otu000099,0,2,0,6,1,2,6,1,0,0,3,9,2,207,143,9,38,17,3,1,608,120,6
Otu000100,0,3,1,0,0,0,0,0,0,0,304,337,27,194,0,0,0,1,38,170,54,2,11
Otu000101,0,1,0,0,0,0,3,0,225,53,1,15,6,846,5,2,3,0,3,4,0,0,0
Otu000102,4,59,34,45,7,5,107,118,453,306,0,0,1,3,0,0,0,0,0,0,0,0,0
Otu000103,0,1,0,0,1,2,0,0,0,0,4,19,237,15,0,0,0,4,27,12,801,11,3
Otu000104,0,0,0,0,7,0,0,0,0,0,4,697,36,34,0,0,0,9,44,133,132,1,27
Otu000105,0,0,0,0,105,0,1,0,0,0,1,8,7,0,0,0,0,914,6,0,38,0,42
Otu000106,1,885,0,0,0,1,89,4,0,0,0,7,1,40,10,5,59,0,1,1,16,0,0
Otu000107,1,132,842,20,0,1,15,2,2,0,0,2,1,34,3,4,31,0,5,11,6,4,0
Otu000108,0,0,0,0,1,0,0,0,0,0,0,22,1,1075,7,0,2,0,1,2,0,0,0
Otu000109,0,0,0,0,289,0,0,0,0,0,0,0,0,0,0,0,0,820,0,0,0,0,1
Otu000110,1,0,0,1,0,0,0,0,0,0,140,35,0,924,0,0,0,0,2,1,0,0,0
Otu000111,0,1,1,0,1,0,0,0,1,0,433,358,0,57,0,0,0,2,38,186,13,0,1
Otu000112,0,474,70,316,3,1,24,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Otu000113,2,38,785,13,0,1,12,0,1,0,0,1,16,98,9,2,10,0,1,26,5,8,0
Otu000114,11,9,14,32,0,6,112,119,336,370,0,0,1,0,0,0,0,1,0,0,0,0,0
Otu000115,0,0,1,0,2,0,0,0,0,0,130,178,26,59,0,0,0,8,229,129,210,1,32
Otu000116,0,1,2,0,2,1,0,0,0,0,0,1,1,70,78,4,10,1,1,0,748,44,29
Otu000117,0,0,0,0,2,0,0,0,0,0,71,237,7,26,0,0,0,2,422,154,28,0,4
Otu000118,0,0,0,0,0,0,0,0,0,0,1,66,1,8,0,0,0,0,844,36,1,0,0
Otu000119,0,4,0,0,0,2,8,0,0,0,0,0,0,304,3,119,382,0,5,0,30,97,2
Otu000120,0,2,0,1,0,0,0,1,4,9,1,95,0,23,0,2,0,0,0,4,0,0,1
Otu000121,0,0,0,0,1,0,0,0,0,0,12,681,1,33,0,0,0,0,168,6,42,0,2
Otu000122,4,11,5,13,28,0,6,0,7,14,1,0,1,4,0,3,1,472,0,0,90,38,245
Otu000123,0,121,377,27,0,4,10,3,0,0,1,0,29,128,48,37,105,0,0,0,9,10,0
Otu000124,0,3,0,0,0,0,0,0,0,0,149,379,0,266,0,0,0,0,0,0,0,0,0
Otu000125,0,1,0,0,3,0,0,0,0,0,2,221,27,34,0,2,0,0,108,15,26,0,1
