,EMf3, ECf11, EMf1, EMf7, MVf12, EMf2, ECf9, bkEC, bkEM, bkMV, EMw3, EMw6, EMw1, EMw4, EMw7, EMw8, MVw12, EMw2, EMw5, ECw9, ECw10, MVw13
Otu00113,0,0,0,0,0,0,0,0,0,0,0,0,0,213,514,0,0,0,0,1,0,0
Otu00115,1,0,0,56,0,2,0,0,0,0,0,0,1,587,0,13,0,0,0,0,44,0
Otu00116,0,40,0,12,0,6,124,1,0,0,0,0,0,116,0,164,38,0,0,0,198,0
Otu00117,0,0,1,0,0,0,0,0,0,0,0,0,0,0,243,421,0,0,0,0,16,15
Otu00118,0,1,0,2,0,1,0,0,0,0,0,0,0,0,89,0,595,0,0,0,0,0
Otu00119,275,10,25,9,0,326,18,5,0,0,0,0,17,2,0,0,0,0,0,0,0,0
Otu00120,18,11,49,271,1,4,24,117,82,3,0,0,0,0,0,0,0,0,0,0,0,0
Otu00121,0,0,0,1,0,1,8,0,0,0,0,0,0,8,0,8,0,0,0,0,655,0
Otu00123,23,13,7,572,2,11,3,12,6,0,0,0,1,0,0,0,0,0,0,0,0,0
Otu00124,0,0,0,0,0,0,0,0,0,0,0,0,0,175,170,0,270,0,0,0,34,0
Otu00125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
Otu00126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Otu00127,0,0,0,0,0,3,0,0,0,0,0,0,0,160,116,104,0,0,0,0,43,188
Otu00128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,594,0,0,0,0,0
Otu00129,0,0,0,0,0,0,0,0,0,0,0,0,0,398,203,0,0,0,0,0,0,0
Otu00130,0,2,0,0,0,1,0,0,0,0,0,0,39,0,108,93,342,0,0,0,0,0
Otu00131,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,578
Otu00132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,579,0,0,0,0,0,0
Otu00133,40,19,37,104,3,16,71,58,106,1,0,0,1,1,0,0,0,0,0,0,0,0
Otu00134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,535
Otu00135,36,37,28,222,8,20,37,36,43,1,0,0,3,0,0,0,0,0,0,0,0,0
Otu00136,0,0,0,0,0,3,0,0,0,0,0,0,18,0,145,0,0,0,0,0,11,358
Otu00137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,230,0,0,290,0,0
Otu00138,32,25,17,133,16,34,62,20,35,2,0,0,13,0,0,0,0,0,0,0,0,0
Otu00139,0,1,0,0,0,0,0,0,0,0,0,0,0,0,490,0,0,0,0,0,0,0
Otu00140,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,450,0,0,0,32,0
Otu00141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,488,0,0
Otu00142,0,0,0,0,0,0,0,0,0,0,0,0,0,80,394,0,0,0,0,0,0,0
Otu00143,0,1,0,0,0,0,0,0,0,0,0,0,0,0,481,0,0,0,0,0,0,0
Otu00144,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,448,0,27
Otu00145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,476
Otu00146,0,0,0,0,0,0,0,0,0,0,0,0,0,13,458,1,0,0,0,0,0,0
Otu00147,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0
Otu00148,5,1,1,13,0,1,128,103,74,3,0,0,0,0,0,0,0,0,0,0,0,0
Otu00149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,467,0,0,0,0,0,0,0
Otu00150,0,0,0,0,0,0,0,0,0,0,1,0,250,60,9,81,11,0,0,3,0,8
Otu00151,0,0,0,0,0,1,0,0,0,0,0,0,17,0,0,0,0,0,0,445,0,0
Otu00152,0,3,0,0,0,0,5,0,0,0,0,0,0,2,0,0,277,0,0,27,133,0
Otu00153,0,2,0,61,0,0,1,0,0,0,0,0,0,3,0,1,376,0,0,0,3,0
Otu00154,0,0,0,1,0,0,0,0,0,0,0,0,10,157,268,11,0,0,0,0,0,0
Otu00155,1,0,0,0,0,1,2,1,0,0,0,0,0,264,114,62,0,0,0,0,0,0
Otu00156,10,9,16,70,0,29,31,25,32,96,0,0,2,0,0,1,0,0,0,0,0,0
Otu00158,59,12,10,22,34,62,76,3,0,0,0,0,4,0,0,0,0,0,0,0,0,4
Otu00159,0,5,0,0,0,0,0,0,0,0,0,0,17,0,0,0,397,0,0,0,0,3
Otu00160,184,0,0,0,0,234,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Otu00161,14,18,10,115,12,2,44,29,36,3,0,0,52,0,0,0,0,0,0,0,0,0
Otu00162,0,0,0,0,0,0,0,0,0,0,0,0,36,39,0,338,0,0,0,0,0,0
Otu00163,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,411
Otu00164,0,0,0,0,0,0,0,0,0,0,0,0,0,72,339,0,0,0,0,0,0,0
Otu00165,7,5,14,84,116,14,0,2,1,0,0,0,27,0,0,0,0,0,0,0,0,0
Otu00166,210,2,1,0,0,159,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
Otu00167,184,0,8,6,0,144,1,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0
Otu00168,21,16,18,96,15,22,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0
Otu00169,13,221,6,33,0,9,37,14,9,0,13,9,0,0,0,0,0,0,5,0,0,1
Otu00170,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,265,0,0,0,0,19,83
Otu00171,31,61,16,86,2,36,20,20,23,1,0,0,23,0,0,0,0,0,1,0,0,0
Otu00172,15,22,12,105,0,22,66,21,70,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00173,0,1,0,284,0,0,2,0,1,0,0,0,8,47,4,0,13,0,0,0,3,0
Otu00174,338,0,3,0,0,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Otu00175,17,0,10,1,1,0,124,54,54,34,0,0,0,0,0,0,0,0,0,0,0,0
Otu00176,0,0,0,0,0,0,0,0,0,0,0,0,0,33,300,0,0,0,0,0,15,0
Otu00178,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,90,86,159
Otu00179,95,21,8,39,2,51,18,11,5,2,0,0,44,0,1,0,0,0,0,0,0,0
Otu00180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,326,0,0,0,0,0,0,0
Otu00181,0,0,0,0,0,0,0,0,0,0,0,0,0,50,98,69,0,0,0,0,37,70
Otu00182,53,20,1,77,0,69,41,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
Otu00183,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,272,0,0,0,46,0
Otu00184,0,0,0,0,0,0,0,0,0,0,0,0,0,126,180,2,0,0,0,0,0,0
Otu00185,9,14,6,166,0,21,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00186,0,0,0,15,0,0,0,0,0,0,0,0,0,99,181,0,0,0,0,0,0,0
Otu00187,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293,0,0
Otu00188,0,0,0,0,0,0,0,0,0,0,0,0,1,242,0,0,50,0,0,0,0,0
Otu00189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292,0,0,0,0,0
Otu00190,0,0,0,0,0,0,0,0,0,0,0,0,0,95,185,0,0,0,0,0,0,0
Otu00191,18,31,16,89,6,3,17,22,32,1,0,0,5,0,0,0,0,1,0,0,0,0
